Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
山	生開二山平	shān	saan¹	산	sơn	a hill; a mountain
虎	曉一模上	hǔ	fu²	호	hổ	the tiger
畜	徹三尤去?, 曉三東入?	chù	cuk¹	축	chuỗi?, súc?	to rear; to feed; cattle
獵	來開三鹽入	liè	lip⁶	렵?, 엽?	lốp	to hunt
獵人		liè rén	lip⁶ jan⁴			hunter
謀	明三尤平	móu	mau⁴	모	mưu	to plot; to scheme
捕	並一模去	bǔ	bou⁶	포	bõ	to seize; to catch; to arrest
設	書開三仙入	shè	cit³	설	thết	to set up; to establish if; supposing
阱	從開三清上	jǐng	zing⁶			a hole; a pitfall; a snare
伺	心開三之平?, 心開三之去?	cì	zi⁶	사		to wait upon; to spy; to way-lay
書	書開三魚平	shū	syu¹	서	thư	a book; to write; written characters
牆	從開三陽平	qiáng	coeng⁴	장	teo?, tường?	a wall
止	章開三之上	zhǐ	zi²	지	chỉ	to stop; to cease
步	並一模去	bù	bou⁶	보	bộ	a pace
止步		zhǐ bù	zi² bou⁶	지보	chỉ bộ	to stop; to be careful
行人		xíng rén	hang⁴ jan⁴		hành nhân	a passer-by
鄉	曉開三陽平	xiāng	hoeng¹			a village; country; one's native place
鄉人		xiāng rén	hoeng¹ jan⁴			a villager
字	從開三之去	zì	zi⁶	자	tự	a written character; a word
過	見合一歌平?, 見合一歌去?	guò	gwo³	과	quá	to pass; to go by, past; to commit a fault
誤	疑一模去	wù	ng⁶	오		to make a mistake
蹴	清三東入?, 精三東入?	cù	cuk¹	축		to tread on; to kick
墜	澄合三脂去	zhuì	zeoi⁶	추	truỵ	to fall down; to slide; to sink
傷	書開三陽平?, 書開三陽去?	shāng	soeng¹	상	thương	to wound; to injure
足	精三虞去?, 精三鍾入?	zú	zuk¹	족	túc	the foot; the leg; enough; sufficient
呼	曉一模平	hū	fu¹	호	hô	to expell the breath; to call out to
求	羣三尤平	qiú	kau⁴	구	cầu	to beg; to entreat; to aim at
援	云合三元平?, 云合三仙去?	yuán	wun⁴	원	viện	to lay hold of; to cling to; to pull out; to assist; to rescue
既	見開三微去	jì	gei³	기		to finish; since; when; a particle of completed action
出	昌合三脂去?, 昌合三眞入?	chū	ceot¹	출	xuất	to go out; to drag out; to produce
指	章開三脂上	zhǐ	zi²	지	chỉ	a finger; to point at
嘆	透開一寒平?, 透開一寒去?	tàn	taan³	탄	han	to sigh
吾	疑一模平?, 疑開二麻平?	wú	ng⁴	오	ngo	I; me
苟	見開一侯上	gǒu	gau²	구		if; to be of little importance
豈	溪開三微上	qǐ	hei²	개?, 기?		an exclamatory particle
至	章開三脂去	zhì	zi³	지	chí	to go at; to reach the end; utmost; best
哉	精開一咍平	zāi	zoi¹	재	tai	an exclamatory particle
