Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
腦	泥開一豪上	nǎo	nou⁵	뇌	não	the brain
腦	泥開一豪去	?	?	?	?	tanned animal hide; leather. smooth, glossy. [morohashi]
知覺						perception
本	幫一魂上	běn	bun²	본	bản	
腦體						the brain substance
心	心開三侵平	xīn	sam¹	심	tâm	
血	曉合四先入	xuè	hyut³	혈	huyết	blood
充	昌三東平	chōng	cung¹	충	sung	to fill; to satisfy; to fulfil
顱	來一模平	lú	lou⁴	로		the skull; the forehead
頭顱						the head
數	生三虞上	shũ	?	수	?	count; enumerate. rebuke. permit. compare; be equal to. [kroll]
數	生三虞去	shù	sou³	수	số	number; some
數	生二江入	cù	?	삭	số	close together, dense; tight-meshed, close-stitched. [kroll]
無數						innumerable
神	船開三眞平	shén	san⁴	신	thần	spirits; gods. the soul; the mind. force; expression
神經						nerves
全	從合三仙平	quán	cyun⁴	전	toàn	all; the whole; complete; perfect
電	定開四先去	diàn	din⁶	전		lightning; electricity. a telegram.
線	心開三仙去	xiàn	sin³	선		a thread; a wire
電線						telegraph wires
分	幫三文平	fēn	fan¹	분	phân	to divide; to distribute
分	並三文去	fèn	?	분	?	portion; rank; allotment; fate. suppose; infer. affection; goodwill. [kanjikai, kroll, hxwd]
分佈						to distribute
互	匣一模去	hù	wu⁶	호	hỗ	mutual; together
通	透一東平	tōng	tung¹	통	thông	to go through; to circulate. general; wholly; complete
消	心開三宵平	xiāo	siu¹	소	tiêu	to melt; to consume; to disperse
消息						rumours; news
吾人						we
動作						to move; a move
傳令						to issue orders
揮	曉合三微平	huī	fai¹	휘	huy	to move; to direct; to shake
指揮						to direct
百體						the whole body; the mechanism of body
總	精一東上	zǒng	zung²	총	tổng	to unite; to sum up. to control
局	羣三鍾入	jú	guk⁶	국	cục	a head office
分局						a branch-office
痛楚						pain; sore
疴	溪開二麻去	kē	o¹	아		sickness; pain
癢	以開三陽上	yǎng	joeng⁵	양		to itch
荷癢						itching
觸	昌三鍾入	chù	zuk¹	촉	xúc	to butt; to strike against
肌	見開三B脂平	jī	gei¹	기		the flesh
膚	幫三虞平	fū	fu¹	부		the skin; the flesh
肌膚						the flesh; the skin
臭	昌三尤去	chòu	cau³	취	xú	strong smelling; stinking
嗅,臭		xiù	cau³	후		to smell
味	明三微去	wèi	mei⁶	미	vị	test; flavor
接	精開三鹽入	jiē	zip³	접	tiếp	to receive; to take. to press down. according to
鼻	並三A脂去	bí	bei⁶	비		the nose
感	見開一覃上	gǎn	gam²	감	cảm	to touch; to influence; to excite
耗		hào	hou³	모	hao	to waste; to destroy. a rat. news; information
消耗						to spend; to waste
睡	常合三支去	shuì	seoi⁶	수		to sleep
眠	明四先平	mián	min⁴	면?, 민?	miên	to close the eyes; to sleep
童	定一東平	tóng	tung⁴	동	đồng	a boy under 15 years of age. a girl.
小時						an hour
度	定一模去	dù	dou⁶	도	độ	a measure; a limit; capacity. to calculate. to spend. to cross over; to pass.
度	定開一唐入	duó	?	탁	?	measure; calculate; plan; conjecture. [kroll]
八	幫二山入	bā	baat³	팔	bát	eight.
